Model,Accuracy (Train),Precision (Train),Recall (Train),F1 Score (Train)
RandomForest,0.9984,0.9984094674556212,0.9984,0.9983995470321166
GradientBoosting,0.9984,0.9984094674556212,0.9984,0.9983995470321166
ExtraTrees,0.9984,0.9984094674556212,0.9984,0.9983995470321166
MLP,0.7056,0.772189505703422,0.7056,0.6828786082301259
SVC,0.8272,0.8277242424242426,0.8272,0.8274000831177302
XGBoost,0.9984,0.998411188811189,0.9984,0.9984004189578424
