Model,Accuracy (Train),Precision (Train),Recall (Train),F1 Score (Train)
RandomForest,0.9984,0.9984070175438595,0.9984,0.9984000669098343
GradientBoosting,1.0,1.0,1.0,1.0
ExtraTrees,1.0,1.0,1.0,1.0
MLP,0.7312,0.7296023272839364,0.7312,0.7289521385838309
SVC,0.8576,0.8572639238498149,0.8576,0.857297699771
XGBoost,1.0,1.0,1.0,1.0
