Model,Accuracy (Train),Precision (Train),Recall (Train),F1 Score (Train)
RandomForest,0.9824,0.9825739489828865,0.9824,0.9823496966631743
GradientBoosting,1.0,1.0,1.0,1.0
ExtraTrees,1.0,1.0,1.0,1.0
MLP,0.7136,0.7585997575757576,0.7136,0.7253108360185465
SVC,0.8192,0.8198190028358787,0.8192,0.8194854281541487
XGBoost,1.0,1.0,1.0,1.0
